한글단어명,영문단어명,단어 전체 명,단어 설명
도급,UNDTAK,UNDERTAKING,"당사자 가운데 한쪽이 어떤 일을 완성할 것을 약속하고, 상대편이 그 일의 결과에 대해서 일정한 보수를 지급하기로 하는 계약, 일정한 기간이나 시간 내에 끝내야 할 일의 양을 한데 맡기다"
도로,ROAD,ROAD,
도메인,DOMAIN,DOMAIN,
도면,DRWNG,DRAWING,
도비라용지,DBPP,DOBIRA PAPER,
도서,BOOK,BOOK,생각이나 사실을 글이나 그림 등으로 나타낸 종이를 겹쳐서 한데 꿰맨 물건
도서,ILND,ISLAND,
도서관,LIBRY,LIBRARY,
도수,FQCY,FREQUENCY,
도시,CITY,CITY,
도움,AID,AN ALLOWANCE; AID,
도움말,HLP,HELP,
도착,ARV,ARRIVAL,
독립,INDI,INDIVIDUAL,
독서,READ,READING,
독자,READER,READER,
독해,READ,READING,글을 읽어서 뜻을 이해함
독후감,IMPR,IMPRESSIONS OF A BOOK,
동,DONG,DONG,
동,VIL,VILLAGE,
동거,LITO,LIVE TOGETHER,
동계,WINT,WINTER,
동기,MOTV,MOTIVE,
동력,PWR,POWER,
동문,ALUM,ALUMNUS,
동산,MVAB,MOVABLE PROPERTY,
동승,RIDTGD,RIDING TOGETHER,
동승자,RIDTGDR,RIDING TOGETHER PERSONS,
동시,SYNC,SYNCHRONOUSNESS,
동아리,CIRC,CIRCLE,
동원,MOBI,MOBILIZATION,
동의,CONS,CONSENT,
동일,SAME,SAME,
동일성,IDENTITY,IDENTITY,
동적,DYNC,DYNAMIC,
동창,ALUM,ALUMNUS,
동창회,ALUM,ALUMNUS,같은 학교를 졸업한 사람들이 서로의 친목을 도모하거나 모교와의 연락을 유지하기 위하여 조직한 모임
동포,PEOP,PEOPLE,
동향,TREND,"A TENDENCY, A TREND, A MOVEMENT",
뒤,BACK,BACK,
듣기,LSTNG,LISTENG,
등급,GRD,GRADE,"신분, 품질, 값, 각종 평가 등의 높고 낮음, 좋고 나쁨을 여러 단계로 나누는 구분"
등기,REG,REGISTRATION,
등록,REG,REGISTRATION,허가나 인정을 받기 위해 단체나 기관 따위의 문서에 이름을 올림
등록금,TUIT,TUITION,
등록자,REGER,UNDEFINED,
등재,RECD,RECORD,
디렉토리,DIR,DIRECTORY,
디자인,DGN,DESIGN,
량,QTY,QUANTITY,수효와 분량을 아울러 이르는 말
레벨,LVL,LEVEL,사물의 가치나 질 따위의 기준이 되는 일정한 표준이나 정도.
레이아웃,LAYOUT,LAYOUT,"(책, 건물, 화면 등의) 배치"
레코드,RECORD,RECORD,레코드
레포트,RPRT,A REPORT,
로그,LOG,LOG,
로그아웃,LOGOUT,LOGOUT,
로그인,LOGIN,LOGIN,
료,AMT,AMOUNT,돈의 액수.
률,RATE,RATE,"일부 명사 뒤에 붙어, ‘전체 중의 비율’ 또는 ‘상대적인 비율’의 뜻을 더하여 명사를 만드는 말. "
리,RI,RI,
리더스,LDRS,LEADERS,
리더십,LEADER,LEADERSHIP,"무리를 다스리거나 이끌어 가는 지도자로서의 능력. ‘지도력’, ‘통솔력’으로 순화"
리스,LESE,LEASE,
리프트,LIFT,LIFT,
림,WDLAND,WOODLAND,
마감,CLS,CLOSING,어떤 일을 잘 다루어 끝을 맺음. 
마력,HRSPWR,HORSEPOWER,[馬力] 동력이나 단위 시간당 일의 양을 나타내는 실용 단위. 말 한 마리의 힘에 해당하는 일의 양이다. 1마력은 1초당 746줄(joule)에 해당하는 노동량으로 746와트의 전력에 해당한다. 기호는 hp. 
마스크비트,MSKBIT,MASK BITS,
마일,MILE,MILEAGE,
마일리지,MILE,MILEAGE,상품이나 카드의 사용 실적에 따라 주어지는 보너스 점수
마지막,LST,LAST,
만기,EXPR,EXPIRATION,정해진 기한이 다 참. 또는 그 기한. 
만료,EXPR,EXPIRATION,
만점,FMAK,FULL MARKS,
만족도,SATI_MESU,SATISFACTION MEASUREMENT,
말소,DEL,DELETE,
말하기,SPK,"SPEAKING
",
매각,SALE,SALE,"땅이나 주식 따위를 돈을 받고 남에게 넘김, 돈을 받고 넘기다"
매뉴얼,MANU,MANUAL,
매니저,MNGR,MANAGER,
매도,SELL,SELL,
매매,TRD,TRADING,
매수,SHTS,SHEETS,종이등의 장수
매입,BUY,BUY,
매장,STOR,STORE,
매체,MEDIUM,MEDIUM,
매출,SALE,SALE,매출이란 기업이 그 영업의 목적으로 하는 상품 등의 판매 또는 용역의 제공을 행하고 대가를 받음으로써 실현되는 수익(收益)을 말한다
맥박,PULSE,PULSATION,
맥어드레스,MADDR,MAC(MEDIA ACCESS CONTROL) ADDRESS,
맵핑,MAPNG,MAPPING,
머리,HDR,HEADER,
메뉴,MENU,MENU,
메모,MEMO,MEMO,
메모리,MEM,MEMORY,
메세지,MSG,MESSAGE,
메일,MAIL,MAIL,
멘토,MNTO,MENTOR,
멘토링,MNTR,MENTORING,
멘티,MNTE,MENTEE,
면,PAGE,PAGE,
면담,INTRV,INTERVIEW,
면세,EXMP_TAX,EXEMPTION FROM TAXATION,
면적,AREA,AREA,평면이나 구면이 차지하는 넓이의 크기
면접,INTRV,INTERVIEW,
면제,EXMP,EXEMPT,"책임이나 의무 따위를 면함, 지지 않게 하다"
면지,ENDPP,ENDPAPERS,
면허,LIC,LICENSE,
멸실,EXTIN,EXTINCTION,"화재나 지진 따위로 물품이나 가옥 따위가 그 효용을 상실할 정도로 파손됨, 화재, 지진 등으로 그 효용을 상실할 정도로 파손되다"
명,NM,NAME,"어떤 사물이나 단체를 다른 것과 구별하여 부르는 일정한 칭호, 하도록 말하다"
명단,LIST,LIST,어떤 일에 관계된 사람들의 이름을 적은 문서
명령,COMD,COMMAND,
명세,SPEC,SPECIFICATION,
명세서,SPEC,SPECIFICATION,
명예,HNR,HONOR,
명의,NOMN,NOMINAL,
명의자,NOMNR,A NOMINAL PERSON,
명일,TOMO,TOMORROW,
명일주요예정사항,TMEC,TOMORROW MAIN EXPECTATION CONTENT,
명칭,NM,NAME,
모,MOM,MOTHER,
모금,COLT,COLLECTION,
모니터링,MNTRG,MONITORING,
모델,MDL,MODEL,
모듈,MODL,MODULE,
모의,IMIT,IMITATE,
모임,MEETNG,MEETING,
모집,COLL,COLLECT,"조건에 맞는 사람이나 자금, 작품 따위를 널리 구하여 모음"
모집전형,SELT,SELECTION,
목,ITEM,ITEM,
목록,LIST,LIST,어떤 일에 관계된 사람들의 이름을 적은 문서
목요일,THU,THURSDAY,
목적,PURP,PURPOSE,이루려고 하는 일이나 방향
목적지,DEST,DESTINATION,
목차,CTNTBK,THE CONTENTS OF A BOOK,
목표,PURP,PURPOSE,이루려고 하는 일이나 방향
몫,ASSN,ASSIGNMENT,
몸무게,WGT,WEIGHT,
무게,WGT,WEIGHT,물건의 무거운 정도.
무급,UNPAID,"UNPAID, 




NONPAYMENT",
무기,ULMT,UNLIMITTED,
무료,FREE,FREE,
무상,FREE,FREE,
무선랜,WLAN,WIRELESS LAN,
무시험,NOEXM,NO EXAMINATION,
무시험검정,LWEX,LICENSE WITHOUT  EXAMINATION,
무용,DANCE,DANCE,
무자격,DQUAL,DISQUALIFICATION,
무효,INVLD,INVALIDITY,
문구,PHRS,PHRASE,
문서,DOC,DOCUMENT,[文書]글이나 기호 등으로 일정한 의사나 관념 또는 사상을 나타낸 것
문예,LITR,LITERATURE,
문의,QST,QUESTION,
문자,CHR,CHARACTER,
문제,PRBL,PROBLEM,
문항,PRBL,PROBLEM,서면상의 시험이나 설문 등에서 하나하나의 문제
문헌,LTTR,LITERATURE,
문화,CULT,CULTURE,
문화재,CULTAST,CUTURAL ASSETS,
물가배수,WTSD_DRNG,WATERSIDE DRAINAGE,
물류,DSTRB,DISTRIBUTION,"물적유통. 물품을, 적은 경비를 들여 신속하고 효율적으로 원하는 장소에 때를 맞추어 보낼 수 있도록 함"
물리,PHYSIC,PHYSICAL,
물품,GD,GOODS,어떤 용도에 필요하고 쓸모 있게 만들어진 물건
미,UN,UN,"UN, 未 , 부정을 나타내는 접두어"
미결정,PDNCY,PENDENCY,
미경과,UNPASS,UNPASS,
미납,UNPAID,"UNPAID, 




NONPAYMENT","세금, 공과금 따위를 정해진 기간이 지나도록 아직 내지 못함, 정해진 기간이 지나도록 아직 내지 못하다"
미달,LACK,LACK,
미디어,MEDIA,MEDIA,
미래,FUTR,FUTURE,
미만,LESS,LESS,
미배송,NOSHP,NOT SHIPPED,미배송
미배정,UNASSN,UN ASSIGNED,
미비,UPRPD,UNPREPAREDNESS,"준비가 안 된, 예상 못한"
미수,UNRCT,UNRECEIPT,
미술,ART,ART,
미졸,UNGRDT,NOT GRADUATE,
미출고,NORELS,NOT RELEASED,미출고
미팅,MEET,MEETING,
미필,UFSD,UNFINISHED,
미화,USD,US DOLLAR,미국의 화폐단위.
미흡,SHTG,SHORTAGE,
민방위,CIVILDEF,CIVIL DEFENSE,
민원,PETIT,PETITION,
바닥,FLR,FLOOR,
바코드,BARCD,BAR CODE,
박,STAY,STAY,
박사,PHD,DOCTOR OF PHILOSOPHY,
반,CLSS,CLASS,
반기,HFYY,HALF YEAR,
반납,RTN,RETURN,"도로 돌려주다, 빌리거나 받은 것을 도로 돌려줌"
반납자,RTNR,UNDEFINED,
반려,RECA,RECALL,
반려자,RECAR,UNDEFINED,
반복,REPT,REPEAT,
반송,RTN,RETURN,
반액,HFAMT,HALF AMOUNT,
반영,ADPT,ADOPTION,
반올림,ROUND,ROUNDING OFF TO THE NEAREST INTEGER,
반입,CRIN,CARRY IN,
반장,FOREM,FOREMAN,
반제,RTN,RETURN,
반출,CROT,CARRY OUT,
반출입,CRIO,CARRY IN/OUT,
반품,RTNGD,RETURNING GOODS,
반환,RET,RETURN,
발간,ISSU,ISSUE,
발급,ISSU,ISSUE,증명서 따위를 발행하여 줌. 
발령,OFORD,OFFICIAL ORDER,"임명, 해임 등 직책이나 직위와 관련된 공식적인 명령을 내림"
발령권,OFORD_AUTH,OFFICIAL ORDER AUTHORITY,
발명,INVT,INVENTION,
발생,OCCR,OCCUR,
발송,SEND,SENDING,"우편으로 보내다, 편지나 서류, 소포 등을 우편으로 보냄"
발신,SEND,SENDING,
발신인,ADSR,ADDRESSER,"우편, 전신 따위를 보내는 사람"
발신자,ADSR,ADDRESSER,
발의,PPS,PROPOSAL,"국회에서, 국회 의원이 회의에서 심의하고 토의할 안건을 제출함, <국회에서>논의하기 위해 내놓다"
발전,DEV,DEVELOP,
발주,ORDR,ORDER,물건을 보내 달라고 주문하다. 주로 공사나 용역 따위의 큰 규모의 거래에서 이루어진다
발표,ANUN,ANNOUNCEMENT,
발표자,PRSNTR,PRESENTER,
발표지,ANUN_JNL,ANNOUNCE JOUNAL,
발행,ISSU,ISSUE,
방문,VISIT,VISIT,
방문자,VISITR,VISITOR,
방법,MTHD,METHOD,목적을 달성하기 위해 취하는 방식이나 수단
방사선,RADI,RADIATION,
방산물품,DIPROD,DEFENSE INDUSTRY PRODUCT,
방식,MTHD,METHOD,목적을 달성하기 위해 취하는 방식이나 수단
방지,PRVNT,PREVENT,
방학,VACA,VACATION,
방향,DIRCT,DIRECTION,
배기,VNTL,VENTILATION,
배기량,DSCAPA,DISPLACEMENT CAPACITY,"[排氣量] 엔진 따위의 열기관에서,실린더 안의 피스톤이 맨 위에서 맨 아래까지 내려갈 때에 배출되는 기체의 양"
배달,DLV,DELIVERY,
배달처,DLVPL,DELIVERY PLACE,
배당,ALLOT,ALLOTMENT,
배부,DISTRB,SHARE,
배분,DISTRB,SHARE,
배상,REPRT,REPARATION,
배송,SHIP,SHIPPING,배송
배송기사,SHPDRV,SHIP DRIVER,배송기사
배송비용,SHPCST,SHIP COST,배송비용
배송처,SHPPLC,SHIP PLACE,배송처
배수,MLTPL,MULTIPLE,
배열,ARR,ARRAY,
배우자,WIFE,WIFE,
배율,MAGNIF,MAGNIFICATION,"렌즈나 거울, 현미경, 망원경 따위로 물체를 볼 때 생기는 물체의 크기와 실제 물체와의 크기 비율, 한시체의 하나"
배점,SCOR,SCORE,
배정,ASGN,ASSIGN,
배제,EXCP,EXCEPTION,
배지,BADGE,BADGE,"신분이나 명예, 직무를 나타내기 위하여 옷이나 모자 따위에 붙이는 표"
배출,SCCS,SUCCESSION,
백분,PCT,PERCENT,
백분위,PCTL,PERCENTILE ,
백분율,PCNT,PERCENT,
백업,BACKUP,BACKUP,
버스,BUS,BUS,
버전,VER,VERSION,
번,NO,NUMBER,
번식,PROPAG,PROPAGATION,
번역,TRAN,TRANSLATION,
번역문,TRSL,TRANSLATIONS,
번지,ADDR,ADDRESS,"사람이 살고 있는 곳이나 기관, 회사 따위가 자리잡고 있는 곳을 행정 구역으로 나타낸 것, 임금에게 글을 올리다"
번호,NO,NUMBER,차례를 나타내기 위해 매겨진 숫자
벌점,DMMRK,DEMERIT,
범위,RANGE,RANGE,
법원,COUR,COURT,
법인,CORP,CORPORATION,
법정,FLAW,FIX BY LAW,
벤쳐,VNTR,VENTURE,
벽,WALL,WALL,
변경,CHG,CHANGE,다르게 바꾸어 새롭게 고침
변경자,CHGPSN,CHANGE PERSON,변경자
변동,CHG,CHANGE,
변리사,PAT_ATT,A PATENT ATTORNEY,
변상,CMPS,COMPENSATION,
변환,MOD,CHANGE,
별,CLSF,CLASSIFICATION,
별칭,ALIAS,ALIAS,
병,ILL,ILLNESS,
병가,SCKLV,SICK LEAVE,
병과,MILBCH,MILITARY BRANCH,
병력,SICK,SICKNESS,
병무청,MILMP_ADM,THE OFFICE OF MILITARY MANPOWER ADMINISTRATION,
병사,SLDR,SOLDIER,
병역,MILSV,MILITARY SERVICE,
병원,HOSP,HOSPITAL,
병적,MLRG,MILITARY REGISTER,
보강,SUPP_LT,SUPPLEMENTARY LECTURE,
보고,RPRT,A REPORT,
보고서,RPRT,A REPORT,보고하는 글이나 문서. 
보관,CUTD,CUSTODY,
보기,DISP,DISPLAY,어떤 사실이나 현상을 설명해 주거나 증명해 주는 대표적인 것
보도,NEWS,NEWS,
보류,SPND,SUSPENTION,
보상,CMPS,COMPENSATION,"국가 또는 공공 단체가 적법한 행위에 의하여 국민이나 주민에게 가한 재산상의 손해나 손실을 보충하기 위하여 제공하는 대가, 남에게 진 빚이나 물건 또는 끼친 수고 등을 되갚음"
보수,REPA,REPAIR,
보수,SALY,SALARY,
보수자,REPAR,REPAIR PERSON,
보안,SCRTY,SECURITY,
보완,SUPP,SUPPLEMENT,
보유,POSS,POSSESS,
보유자,POSSR,POSSESS PERSON,
보육,CARE,CARE,
보장,GUAR,GUARANTEE,
보전,PRESRV,PRESERVATION,
보정,CORR,CORRECTION,
보조,ASSI,ASSISTANCE,
보조원,ASSTNT,ASSISTANT,
보조장,SUPBOOK,SUPPLIMENTARY BOOK,
보증,GRNT,GUARANTEE,
보증서,GRNT,GUARANTEE,
보증인,GUANTR,GUANTRTEE PERSON,
보직,MISS,MISSION,
보충,SUPP,SUPPLEMENT,"보태어 채우다, 모자라는 것을 보태어 채움"
보충역,RSVDTY,RESERVIST DUTY,
보험,INSU,INSURANCE,
보호,GUARD,GUARD,
보호자,GUARDIAN,GUARDIAN,
보훈,VA,VETERANS AFFAIRS,
복귀,CMBK,COMEBACK,
복리후생,WELF,WELFARE,기업이 종업원과 그 가족의 생활 수준을 향상시켜 근무의 효율성을 높이고자 임금 이외에 마련하는 여러 복지 정책
복명,RPTBK,REPORT BACK,
복무,PBSV,PUBLIC SERVICE,
복사,COPY,COPY,
복수,MULT,MULT,둘 이상의 수
복수전공,MULT_MJ,MULTI MAJOR,
복지,WELF,WELFARE,
복직,RESTT,REINSTATEMENT,
복학,RESH,RETURN TO SCHOOL,
복합,MIX,MIX,
본,MN,MAIN,
본관,FMORG,FAMILY ORGIN,
본교,MSCH,MAIN SCHOOL,
본문,TEXT,TEXT,
본봉,BSALY,BASIC SALARY,
본부,HDOFCE,HEAD OFFICE,
본예산,MBUDG,MAIN BUDGET,
본인,SLF,SELF,"어떤 일의 주체인 그 사람, 말하는 사람이 자기 스스로를 가리키는 말"
본적,FMADR,FAMILY ADDRESS,
볼륨,VOL,VOLUME,
봉급,SALY,SALARY,직장에서 계속 근무하는 사람이 그 일의 대가로 정기적으로 받는 일정한 돈
봉사,SRV,SERVICE,
봉사자,SERVT,SERVANT,
봉투,EVLP,ENVELOP,
부,FACT,A FACULTY,회사나 기타 사무 조직에서 업무 부서의 단위
부,FTHR,FATHER,
부,SUB,(PREFIX) ~ UNDER,
부가,ADD,ADDITION,
부가세,SURTAX,SUPERTAX,
부과,IMPS,IMPOSE,
부과세,TAX,TAX,
부금,INME,AN INSTALLMENT,
부기,BOOKKP,BOOKKEEPING,
부녀자,WOMN,FEMALE,
부담,BUDEN,BURDEN,
부담금,PNFE,PRINCIPLE EXPENSES,
부대,FORC,FORCE,
부대비용,EXTR_EXPS,EXTRA EXPENSE,
부동산,REAL_EST,REAL ESTATE,
부모,PARENT,PARENTS,
부문,FLD,FIELD,
부분,PRTL,PARTIAL,전체를 몇 개로 나눈 것의 하나
부서,DEPT,DEPARTMENT,"기관이나 기업, 조직 따위에서, 여러 갈래로 나누어진 사무의 한 부분"
부설,SUB,(PREFIX) ~ UNDER,
부속,AFF,AFFILIATION,
부속품,ACSY,ACCESSORY,
부수,NCS,NUMBER OF COPIES,
부식,SDSH,SIDE DISH,
부양,SPRT,SUPPORT,"스스로의 생활 능력이 없는 사람의 생활을 돌봄, 생활하도록 돌보다

"
부업,SDJB,SIDE JOB,
부여,GV,GIVE,"가지거나 지니게 하여 줌, 가지거나 지니도록 주어지다

"
부임,OFORD,OFFICIAL ORDER,
부적격자,DISQ,DISQUALIFIED,
부전공,MI,MINOR,
부정,NOT,NOT,
부제,SUBTTL,SUBTITLE,"책이나 논문 따위의 표제에 덧붙여서 내용을 한정하거나 보충하는 제목, 전체를 몇 부분으로 나누어 운영하는 제도"
부제목,SUBTTL,SUBTITLE,
부족,SHTG,SHORTAGE,"필요한 수량보다 적거나 모자라는 상태이다, 일정한 정도나 양에 이르지 못함"
부지,LAND,LAND,
부직,PTJOB,PARTTIME JOB,
부처,FACT,A FACULTY,
부합,COINCD,COINCIDENCE,
부호,SMB,SYMBOL,[符號]어떠한 뜻을 나타내기 위하여 정한 기호
분,MINT,MINUTE,"1시간을 60으로 나눈 단위.
60초 가 1분이 됨."
분개,JNL,JOURNALIZING,
분기,QTR,QUARTER,[分期]일 년을 4등분 한 3개월씩의 기간. 
분납,PRTL,PARTIAL,
분대,SQUD,A SQUAD,
분류,CLSF,CLASSIFICATION,
분리,DIVID,DIVIDED,
분모,DNMN,DENOMINATOR,
분반,DCLSS,DEVIDED CLASS,
분배,DISTRB,SHARE, 생산 과정에 참여한 개개인이 생산물을 사회적 법칙에 따라서 나누는 일.
분산,DPS,DISPERSION,
분석,ANALYSIS,ANALYSIS,
분실,LOSS,LOSS,
분야,FLD,FIELD, 여러 갈래로 나누어진 범위나 부분.
분임,DIVISN,DIVSION,
분자,NMRT,NUMERATOR,
분포,DISTRB,SHARE,
분할,DIVID,DIVIDED,나누어 쪼갬.
불,UN,UN,
불가,IMPB,IMPOSSIBLE,
불능,INCAP,INCAPABILITY,
불량,INFER,INFERIORITY,물건 따위의 품질이나 상태가 나쁨
불용,DISUSE,DISUSE,
불용자원,USRE,USELESS RESOURCE,
불입,PAY,PAY,
불참,ABSN,ABSENCE,
불합격자,DISQ,DISQUALIFIED,
브라우저,BRWS,BROWSER,
블랙리스트,BLST,BLACKLIST,
비,AMT,AMOUNT,돈의 액수.
비고,REMK,REMARK,"[備考]문서 따위에서, 그 내용에 참고가 될 만한 사항을 보충하여 적는 것. 또는 그 사항."
비과세,NOTAX,NON-TAXABLE ,
비교,COMP,COMPARE,
비목,ITEM,ITEM,
비밀번호,PWD,PASSWORD,"비밀을 유지하기 위하여 당사자끼리만 알 수 있도록 꾸민 부호나 신호, 사용자로부터 시스템이나 데이터 파일을 이용할 수 있는 권리를 확인하기 위하여 쓰는 비밀 부호."
비상,EMR,EMERGENCY,
비상근,PTIME,PART TIMR,
비슷함,SIM,SIMILARITY,
비용,COST,COST,비용
비위,VIOL,VIOLATION,
비율,RATE,RATE,"일부 명사 뒤에 붙어, ‘전체 중의 비율’ 또는 ‘상대적인 비율’의 뜻을 더하여 명사를 만드는 말. "
비율,RATE,RATE,
비자,VISA,VISA,외국인에 대한 출입국 허가를 증명하는 여권의 배서
비정상,ABNML,ABNORMAL,
비축,RESV,RESERVE,
비품,GD,GOODS,
빈도,FREQ,FREQUENCY,[頻度]어떤 일이 되풀이되는 정도나 횟수
빌딩,BD,BUILDING,
빔프로젝터,BMPT,BEAM PROJECTOR,
빼기,SUBTRA,SUBTRACTION,
사,CO,COMPANY,
사건,EVENT,EVENT,
사고,ACDT,ACCIDENT,
사람,PSN,PERSON,"지역이나 단체를 나타내는 명사 뒤에 쓰여, 그 지역이나 단체 출신임을 나타내는 사람."
사람수,RCNT,NUMBER OF PERSONS,단체를 이루고 있는 사람들. 또는 그 수효.
사랑,LOVE,LOVE,
사면,EXMP,EXEMPT,
사무소,OFCE,OFFICE,
사무실,OFCE,OFFICE,
사범,EDU,EDUCATIONAL,
사범대생,COESTD,STUDENT OF COLLEGE OF EDUCATION,
사양,SPEC,SPECIFICATION,
사업,BIZ,BUSINESS,"주로 생산과 영리를 목적으로 지속하는 계획적인 경제 활동, 생산과 영리를 목적으로 계획적인 경제 활동을 하다"
사업자,BIZR,BUSINESS MAN,
사업자등록번호,BIZNO,BUSINESS NUMBER,사업체를 표시하거나 상거래시 사용되는 사업체 고유번호.
사업화,CMZTN, COMMERCIALIZATION,
사용,USE,USE,"어떤 목적이나 기능에 맞게 필요로 하거나 소용이 되는 곳에 쓰다, 사물을 필요로 하거나 소용이 되는 곳에 씀"
사용자,USER,USER,
사용자정의,USR_DEF,USER DEFINED,
사원,EMP,Employee,
사유,RESN,REASON,[事由]어떤 일을 그렇게 하게 된 이유나 까닭 
사정,SCRN,SCREENING,
사증,VISA,VISA,
사진,PHT,PHOTO,
사학,PSCH,PRIVATE SCHOOL,
사항,CTNT,CONTENT,물품이나 금액 따위의 내용
사회,SOC,SOCIETY,
사회교육,SOC_EDU,SOCIAL EDUCATION,
사회유력인사,POTNT,POTENTATE,
사회저명인사,EMNTPSN,"EMINANT PERSON
",
삭제,DEL,DELETE,"기록이나 문헌 따위에서 지우거나 없애다, 기록이나 문헌 따위에서 지워져 없어지다"
산,MT,MOUNTAIN,
산업,IDST,INDUSTRY,인간이 생계를 유지하기 위하여 일상적으로 종사하는 생산적(生産的) 활동.
산재보험,OHSINS,OCCUPATIONAL HEALTH AND SAFETY INSURANCE ,
산출,CAL,CALCULATION,"계산해 내다, 계산해 냄"
산출물,OUTPT,OUTPUT,
산학,INAC,INDUSTRY AND ACADEMIC,
상,TOP,TOP,
상각,DEPR,DEPRECIATION,토지를 제외한 고정 자산에 생기는 가치의 소모를 결산기마다 계산하여 그 자산의 가격을 감소해 나가는 회계상의 절차
상공,BIZ,BUSINESS,
상근,FULTIME,FULL TIME,
상담,CNSL,COUNSEL,"어떤 일을 서로 의논하거나 그 방면의 전문가에게 의뢰함, 서로 의논하거나 그 방면의 전문가에게 의뢰하다"
상담역,CNSLOR, COUNSELOR,
상담자,CNSLTR,CONSULTOR,
상당,EQVT,EQUIVALENT,
상대,RELE,RELATIVE,
상대평가,RELE_APPR,UNDEFINED,
상반기,FRST_HF,FIRST HALF ,
상벌,ARD,AWARD," 상을 줌과 벌을 줌, 잘한 것에 상을 주고 잘못한 것에 벌을 주다"
상세,DETA,DETAIL,
상속,INHRT,INHERIT,
상수도,WATERWOKS,WATERWORKS,
상시,ORDY,ORDINARY TIMES,
상실,LOSS,LOSS,
상여,BONUS,BONUS,
상용화,COMMRZ,COMMERTIALIZED,
상위,UP,UP,
상응,RESPD,RESPONDENCE ,
상이,WOUN,WOUN,
상자,BOX,BOX,
상장,PRIZE,PRIZE,
상점,AWSCOR,AWARD SCORE,
상점,SHOP,SHOP,
상조회,MTL_AID,MUTUAL AID,
상태,ST,STATUS,
상패,MEDAL,MEDAL,
상표,BRND,BRAND,
상품,PRDT,PRODUCT,
상하행,GO_UPDN,GOING UP/DOWN,
상한,UPP,UPPER,
상해,INJR,INJURY,
상호,FIRM,FIRM NAME,
상환,RFND,REFUND,
상황,APPE,APPEARANCE,[狀況]어떤 일이나 현상 따위가 이루어지거나 처해 있는 일정한 때의 모습이나 형편
색맹,CBLD,COLOR BLIND,
색인,IDX,INDEX,
생,STD,STUDENT,
생계,LIV,LIVING,
생년월일,BIRTH_DT,BIRTH DAY,태어난 해와 달과 날.
생물,BIO,BIOLOGICAL,
생산,PROD,PRODUCTION,
생성,CREA,CREATE,
생성자,CRTR,CREATER,사물을 생겨나게 한 사람
생일,BIRTH_DT,BIRTH DAY,태어난 해와 달과 날.
생존,EXIST,EXISTENCE,"죽지 않고 살아 있음, 죽지 않고 끝까지 살아남다"
생활,LIF,LIFE,
서,DOC,DOCUMENT,글이나 기호 등으로 일정한 의사나 관념 또는 사상을 나타낸 것
서류,DOC,DOCUMENT,
서명,SIGN,SIGNATURE,[書名]행위자가 자기의 동일성을 표시하고 책임을 분명하게 하기 위하여 문서 따위에 자기의 이름을 써넣음
서버,SERVER,SERVER,
서브넷마스크,SUBNMSK,SUBNET MASK,
서비스,SVC,SERVICE,"재화를 생산하지는 않으나 그것을 운반, 배급, 판매하거나 생산과 소비에 필요한 노무를 제공하는 일"
서술,STMT,STATEMENT,
서식,FORM,FORM,"증서, 원서, 신고서 따위와 같은 서류를 꾸미는 일정한 방식. "
서약서,PRDOC," A WRITTEN PROMISE, DOCUMENT FOR PROMISE.",
서지,BGPY,A BIBLIOGRAPHY,
석박사,MDADOP,MASTER DEGREE AND DOCTOR OF PHILOSOPHY,석사와 박사 통합과정
석사,MASTER,MASTER,
석식,DINR,DINNER,
석차,RANK,RANKING,차례나 순서를 나타내는 위치나 지위
선,PRE,PREFIX,
선거,ELCT,ELCT,
선급,PREPAID,PREPAYMENT,물건의 값이나 품삯을 미리 치름
선납,PREPAID,PREPAYMENT,
선물,GIFT,GIFT,
선박,SHIP,SHIPMENT,
선발,SLT,SELECTION,
선배,SENIOR,SENIOR,
선불,PREPAY,PREPAY,
선수,PLAYER,PLAYER,
선수,PRE,PREFIX,
선적,SHIP,SHIPMENT,배에 짐을 실음
선정,CHOICE,CHOICE,
선지급,PREPAID,PREPAYMENT,
선착순,FCFS,FIRST-COME-FIRST-SERVED BASIS,
선취득과목,PRE ACQ SBJT,UNDEFINED,
선택,CHOICE,CHOICE,여럿 가운데서 골라 뽑음
선행,PRE,PREFIX,
설강,OPENLECT,OPEN LECTURE,
설계,DGN,DESIGN,"계획을 세움, 목적에 따라 실제적인 계획을 세우고 짜다"
설립,FONDT,FOUNDATION,"기관이나 조직체 따위를 새로 만들어 세움, 새로 만들어 세우다"
설명,DESCT,DESCRIPTION,"[說明]잘 알 수 있도록 밝혀서 말하다, 어떤 일의 내용이나 이유 따위를 상대편이 잘 알 수 있도록 밝혀 말함"
설문,SURVEY,UNDEFINED,
설문지,SVYSHT,SURVEY SHEET,
설비,EQM,EQUIPMENT,
설정,SETP,SETUP,
설치,SETP,SETUP,"마련하여 갖추다, 어떤 일을 하는 데 필요한 기계나 설비, 건물 따위를 마련하여 갖춤"
성,CHARTR,CHARACTER,
성격,CHARTR,CHARACTER,각 개인이 지닌 특유한 성질이나 품성
성공,SUCCSS,SUCCESS,
성과,RSLT,RESULT,
성능,ABL,ABILITY,
성명,NM,NAME,
성별,GEN,GENDER,
성분,ELEM,ELEMENT,
성수기,HIDMSSN,A HIGH-DEMAND SEASON,
성인,ADLT,ADULT,
성장,GRTH,UNDEFINED,
성적,MRKS,MARKS,
